Voltage_V,CurrentDensity_mAcm2
2.02031565,-3.35874103
2.02038241,-3.35648766
2.02044918,-3.35423428
2.02051594,-3.35198091
2.02058270,-3.34972753
2.02064946,-3.34747416
2.02071622,-3.34522079
2.02078299,-3.34296741
2.02084975,-3.34071404
2.02091651,-3.33846066
2.02098327,-3.33620729
2.02105004,-3.33395392
2.02111680,-3.33170054
2.02118356,-3.32944717
2.02125032,-3.32719379
2.02131708,-3.32494042
2.02138385,-3.32268705
2.02145061,-3.32043367
2.02151737,-3.31818030
2.02158413,-3.31592692
2.02165090,-3.31367355
2.02171766,-3.31142018
2.02178442,-3.30916680
2.02185118,-3.30691343
2.02191794,-3.30466005
2.02198471,-3.30240668
2.02205147,-3.30015331
2.02211823,-3.29789993
2.02218499,-3.29564656
2.02225176,-3.29339318
2.02231852,-3.29113981
2.02238528,-3.28888644
2.02245204,-3.28663306
2.02251880,-3.28437969
2.02258557,-3.28212631
2.02265233,-3.27987294
2.02271909,-3.27761957
2.02278585,-3.27536619
2.02285262,-3.27311282
2.02291938,-3.27085944
2.02298614,-3.26860607
2.02305290,-3.26635269
2.02311966,-3.26409932
2.02318643,-3.26184595
2.02325319,-3.25959257
2.02331995,-3.25733920
2.02338671,-3.25508582
2.02345347,-3.25283245
2.02352024,-3.25057908
2.02358700,-3.24832570
2.02365376,-3.24607233
2.02372052,-3.24381895
2.02378729,-3.24156558
2.02385405,-3.23931221
2.02392081,-3.23705883
2.02398757,-3.23480546
2.02405433,-3.23255208
2.02412110,-3.23029871
2.02418786,-3.22804534
2.02425462,-3.22579196
2.02432138,-3.22353859
2.02438815,-3.22128521
2.02445491,-3.21903184
2.02452167,-3.21677847
2.02458843,-3.21452509
2.02465519,-3.21227172
2.02472196,-3.21001834
2.02478872,-3.20776497
2.02484722,-3.20551160
2.02490096,-3.20325822
2.02495471,-3.20100485
2.02500845,-3.19875147
2.02506220,-3.19649810
2.02511595,-3.19424473
2.02516969,-3.19199135
2.02522344,-3.18973798
2.02527718,-3.18748460
2.02533093,-3.18523123
2.02538467,-3.18297786
